product_id,product_name,category,price,stock_quantity,supplier_id,created_date
101,Wireless Headphones,Electronics,99.99,150,1,2023-01-01
102,Running Shoes,Footwear,79.99,200,2,2023-01-05
103,Coffee Maker,Appliances,149.99,75,3,2023-01-10
104,Laptop Bag,Accessories,39.99,300,1,2023-01-15
105,Bluetooth Speaker,Electronics,59.99,120,1,2023-01-20
106,Yoga Mat,Sports,29.99,180,4,2023-02-01
107,Desk Lamp,Furniture,49.99,90,5,2023-02-05
108,Water Bottle,Accessories,19.99,250,4,2023-02-10
109,Phone Case,Accessories,24.99,400,1,2023-02-15
110,Board Game,Toys,34.99,60,6,2023-02-20
